Category: All categories

Time,16 and pregnant: (United States),birth control: (United States),abortion: (United States)
2024-02-21T20:16:00-06:00,2,76,67
2024-02-21T20:24:00-06:00,1,84,65
2024-02-21T20:32:00-06:00,0,77,66
2024-02-21T20:40:00-06:00,0,77,64
2024-02-21T20:48:00-06:00,1,82,70
2024-02-21T20:56:00-06:00,2,88,72
2024-02-21T21:04:00-06:00,2,82,67
2024-02-21T21:12:00-06:00,0,84,72
2024-02-21T21:20:00-06:00,1,88,66
2024-02-21T21:28:00-06:00,3,92,69
2024-02-21T21:36:00-06:00,0,95,74
2024-02-21T21:44:00-06:00,2,87,66
2024-02-21T21:52:00-06:00,3,97,70
2024-02-21T22:00:00-06:00,2,48,31
2024-02-21T22:08:00-06:00,0,46,41
2024-02-21T22:16:00-06:00,2,50,39
2024-02-21T22:24:00-06:00,1,42,39
2024-02-21T22:32:00-06:00,2,47,43
2024-02-21T22:40:00-06:00,2,53,32
2024-02-21T22:48:00-06:00,1,49,37
2024-02-21T22:56:00-06:00,2,48,36
2024-02-21T23:04:00-06:00,3,50,36
2024-02-21T23:12:00-06:00,3,47,29
2024-02-21T23:20:00-06:00,0,43,36
2024-02-21T23:28:00-06:00,2,52,45
2024-02-21T23:36:00-06:00,0,46,43
2024-02-21T23:44:00-06:00,4,48,35
2024-02-21T23:52:00-06:00,3,50,39
2024-02-22T00:00:00-06:00,7,50,42
2024-02-22T00:08:00-06:00,3,43,41
2024-02-22T00:16:00-06:00,4,100,68
2024-02-22T00:24:00-06:00,2,49,37
2024-02-22T00:32:00-06:00,0,45,41
2024-02-22T00:40:00-06:00,0,48,43
2024-02-22T00:48:00-06:00,5,46,42
2024-02-22T00:56:00-06:00,0,59,38
2024-02-22T01:04:00-06:00,3,53,34
2024-02-22T01:12:00-06:00,5,45,40
2024-02-22T01:20:00-06:00,0,42,44
2024-02-22T01:28:00-06:00,0,47,28
2024-02-22T01:36:00-06:00,0,35,58
2024-02-22T01:44:00-06:00,7,38,18
2024-02-22T01:52:00-06:00,7,43,44
2024-02-22T02:00:00-06:00,5,53,56
2024-02-22T02:08:00-06:00,0,39,37
2024-02-22T02:16:00-06:00,13,31,31
2024-02-22T02:24:00-06:00,4,45,40
2024-02-22T02:32:00-06:00,11,59,37
2024-02-22T02:40:00-06:00,0,45,41
2024-02-22T02:48:00-06:00,0,38,36
2024-02-22T02:56:00-06:00,0,41,41
2024-02-22T03:04:00-06:00,0,43,28
2024-02-22T03:12:00-06:00,6,40,37
2024-02-22T03:20:00-06:00,16,31,73
2024-02-22T03:28:00-06:00,6,19,30
2024-02-22T03:36:00-06:00,0,17,24
2024-02-22T03:44:00-06:00,10,21,31
2024-02-22T03:52:00-06:00,0,22,30
2024-02-22T04:00:00-06:00,6,12,25
2024-02-22T04:08:00-06:00,13,29,24
2024-02-22T04:16:00-06:00,0,25,34
2024-02-22T04:24:00-06:00,0,26,34
2024-02-22T04:32:00-06:00,4,30,22
2024-02-22T04:40:00-06:00,6,41,48
2024-02-22T04:48:00-06:00,0,25,20
2024-02-22T04:56:00-06:00,0,24,40
2024-02-22T05:04:00-06:00,0,29,29
2024-02-22T05:12:00-06:00,0,41,25
2024-02-22T05:20:00-06:00,6,44,29
